source_table, destination_table, source_field, target_field, field_type
refrigerators,refrigerators_odkx,tracking_id,tracking_id,
refrigerators,refrigerators_odkx,under_warranty,under_warranty,
refrigerators,refrigerators_odkx,utilization,utilization,
refrigerators,refrigerators_odkx,voltage_regulator,voltage_regulator,
refrigerators,refrigerators_odkx,voltage_regulator_functional_status,voltage_regulator_functional_status,
refrigerators,refrigerators_odkx,voltage_regulator_serial_number,voltage_regulator_serial_number,
refrigerators,refrigerators_odkx,warranty_service_provider_contact,warranty_service_provider_contact,
refrigerators,refrigerators_odkx,warranty_service_provider_name,warranty_service_provider_name,
refrigerators,refrigerators_odkx,year_installed,year_installed,
refrigerators,refrigerators_odkx,year_procured,year_procured,
refrigerators,refrigerators_odkx,_id,id_refrigerators,
refrigerators,refrigerators_odkx,selfUri,selfUri,
ft_daily_temp_records,ft_daily_temp_records_odkx,rowETag,rowETag
ft_daily_temp_records,ft_daily_temp_records_odkx,_row_etag,rowETag,
ft_daily_temp_records,ft_daily_temp_records_odkx,_data_etag_at_modification,dataETagAtModification,
ft_daily_temp_records,ft_daily_temp_records_odkx,_deleted,deleted,
ft_daily_temp_records,ft_daily_temp_records_odkx,_create_user,createUser,
ft_daily_temp_records,ft_daily_temp_records_odkx,_form_id,formId,
ft_daily_temp_records,ft_daily_temp_records_odkx,_locale,locale,
ft_daily_temp_records,ft_daily_temp_records_odkx,_savepoint_type,savepointType,
ft_daily_temp_records,ft_daily_temp_records_odkx,_savepoint_creator,savepointCreator,
ft_daily_temp_records,ft_daily_temp_records_odkx,_last_update_user,lastUpdateUser_ft_daily_temp_records,
ft_daily_temp_records,ft_daily_temp_records_odkx,_savepoint_timestamp,savepointTimestamp_ft_daily_temp_records,
ft_daily_temp_records,ft_daily_temp_records_odkx,android_sys_time,android_sys_time,
ft_daily_temp_records,ft_daily_temp_records_odkx,avg_temp,avg_temp,
ft_daily_temp_records,ft_daily_temp_records_odkx,battery,battery,
ft_daily_temp_records,ft_daily_temp_records_odkx,checked_time,checked_time,
